age,gender,race,state,flee,age_bins,population_race,population_gender,population_states,N_poor_by_state,N_poor_by_race,N_poor_by_gender,Total_Population,prob_race_knowing_was_killed,prob_gender_knowing_was_killed,prob_state_knowing_was_killed,prob_race,prob_gender,prob_state,prob_killed_knowing_race,prob_killed_knowing_gender,prob_killed_knowing_state,prob_race_knowing_poor,prob_killed_knowing_race_and_poor,prob_killed_knowing_race_and_poor_norm,prob_killed_knowing_race_norm,prob_killed_knowing_gender_norm,prob_killed_knowing_state_norm
53,M,A,WA,No,>50,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
44,M,A,WA,No,35-50,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
20,M,A,WA,No,18-35,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
22,M,A,WA,No,18-35,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
36,M,A,WA,Yes,35-50,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
16,M,A,WA,No,12-18,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
26,M,A,WA,No,18-35,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
25,M,A,WA,Yes,18-35,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
60,M,A,WA,No,>50,19619000,162826299,7588000,628000,1629000,16334000,325714000,0.018,0.953,0.025,0.060233824766512956,0.4999057424611776,0.023296511663606724,0.29883541464906466,1.9063593774860657,1.0731220347917765,0.04373506591134856,3.5990497237569063,0.09124120137265483,0.06321758223357003,0.9539202962485805,0.01828815510628355
20,M,W,WA,No,18-35,191698000,162826299,7588000,628000,15942000,16334000,325714000,0.508,0.953,0.025,0.588547007497375,0.4999057424611776,0.023296511663606724,0.8631426097298877,1.9063593774860657,1.0731220347917765,0.4280076247751497,10.379043532806424,0.26312401153597,0.1825947870802943,0.9539202962485805,0.01828815510628355
36,M,W,WA,No,35-50,191698000,162826299,7588000,628000,15942000,16334000,325714000,0.508,0.953,0.025,0.588547007497375,0.4999057424611776,0.023296511663606724,0.8631426097298877,1.9063593774860657,1.0731220347917765,0.4280076247751497,10.379043532806424,0.26312401153597,0.1825947870802943,0.9539202962485805,0.01828815510628355
47,M,W,WA,No,35-50,191698000,162826299,7588000,628000,15942000,16334000,325714000,0.508,0.953,0.025,0.588547007497375,0.4999057424611776,0.023296511663606724,0.8631426097298877,1.9063593774860657,1.0731220347917765,0.4280076247751497,10.379043532806424,0.26312401153597,0.1825947870802943,0.9539202962485805,0.01828815510628355
62,M,W,WA,No,>50,191698000,162826299,7588000,628000,15942000,16334000,325714000,0.508,0.953,0.025,0.588547007497375,0.4999057424611776,0.023296511663606724,0.8631426097298877,1.9063593774860657,1.0731220347917765,0.4280076247751497,10.379043532806424,0.26312401153597,0.1825947870802943,0.9539202962485805,0.01828815510628355
58,M,W,WA,No,>50,191698000,162826299,7588000,628000,15942000,16334000,325714000,0.508,0.953,0.025,0.588547007497375,0.4999057424611776,0.023296511663606724,0.8631426097298877,1.9063593774860657,1.0731220347917765,0.4280076247751497,10.379043532806424,0.26312401153597,0.1825947870802943,0.9539202962485805,0.01828815510628355
