UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2018,999,325927236,160507906,165419330,123767992,125916336,20864091,22701417,2078518,2046528,9039999,9913129,399199,388026,4358107,4453894,127645173,129857143,22799848,24726306,3399211,3431543,10654822,11528523,788557,782174,130652930,136149178,97491779,100202592,19469592,21256428,1188403,1224956,8748973,9620618,292630,288781,3461553,3555803,100569260,103344981,20993836,22860356,2129310,2232413,10116868,10988371,597784,599298,29854976,29270152,26276213,25713744,1394499,1444989,890115,821572,291026,292511,106569,99245,896554,898091,27075913,26512162,1806012,1865950,1269901,1199130,537954,540152,190773,182876
R,1,2018,0,3846567,1967582,1878985,1419924,1351336,294824,286649,31625,30394,97314,91487,5808,5515,118087,113604,1528714,1455976,358531,348478,55287,53064,140680,132822,14123,13449,1458808,1390326,984812,933824,267513,260246,16400,15635,91680,86101,3980,3760,94423,90760,1072215,1017812,319331,310531,31886,30417,127742,120453,10105,9599,508774,488659,435112,417512,27311,26403,15225,14759,5634,5386,1828,1755,23664,22844,456499,438164,39200,37947,23401,22647,12938,12369,4018,3850
R,1,2018,1,3954172,2022263,1931909,1456905,1386583,302580,294458,32415,31145,103333,97507,5992,5756,121038,116460,1568392,1493829,367793,357765,56639,54368,147886,139969,14522,13902,1498242,1428625,1008550,956421,274513,267276,16780,15994,97531,91978,4118,3944,96750,93012,1098081,1042463,327510,318720,32616,31124,134611,127292,10409,9948,524021,503284,448355,430162,28067,27182,15635,15151,5802,5529,1874,1812,24288,23448,470311,451366,40283,39045,24023,23244,13275,12677,4113,3954
R,1,2018,2,4004626,2047833,1956793,1472862,1401919,306154,298208,32733,31440,107642,101753,6078,5866,122364,117607,1585534,1510205,371997,362117,57198,54871,152800,144688,14715,14087,1516209,1446155,1017850,965300,277705,270663,16913,16121,101761,96167,4192,4030,97788,93874,1108300,1052121,331168,322537,32885,31362,139383,131891,10568,10095,531624,510638,455012,436619,28449,27545,15820,15319,5881,5586,1886,1836,24576,23733,477234,458084,40829,39580,24313,23509,13417,12797,4147,3992
R,1,2018,3,4030352,2060608,1969744,1480572,1408888,307659,300425,32827,32005,111504,105652,6037,5857,122009,116917,1592869,1516508,372969,363677,57308,55492,156800,148430,14741,14060,1532653,1461628,1028788,974515,278878,272749,17143,16589,105882,100238,4236,4093,97726,93444,1119130,1060903,331917,324094,33211,31938,143785,135920,10709,10192,527955,508116,451784,434373,28781,27676,15684,15416,5622,5414,1801,1764,24283,23473,473739,455605,41052,39583,24097,23554,13015,12510,4032,3868
R,1,2018,4,3988706,2040189,1948517,1467015,1396231,306710,298487,33340,31911,107339,101465,5828,5571,119957,114852,1577360,1501847,370677,360692,57665,55132,151888,143407,14562,13739,1517200,1446714,1019200,966801,278491,271293,17564,16758,101947,96279,4098,3871,95900,91712,1107817,1051508,330387,321797,33541,31977,139100,131171,10510,9836,522989,501803,447815,429430,28219,27194,15776,15153,5392,5186,1730,1700,24057,23140,469543,450339,40290,38895,24124,23155,12788,12236,4052,3903
R,1,2018,5,4020281,2054060,1966221,1476147,1409125,307657,299340,33079,31808,111814,105793,5908,5695,119455,114460,1585922,1514307,370943,360608,57389,55182,156553,148072,14667,14018,1528039,1458320,1024616,973147,279677,272323,17659,16992,106507,100567,4170,3975,95410,91316,1112664,1057424,330883,321941,33600,32299,143909,135794,10626,10081,526021,507901,451531,435978,27980,27017,15420,14816,5307,5226,1738,1720,24045,23144,473258,456883,40060,38667,23789,22883,12644,12278,4041,3937
R,1,2018,6,4029405,2060363,1969042,1489836,1419492,308046,299342,33178,32037,105474,100236,5668,5440,118161,112495,1598475,1522864,370974,359449,57613,55341,149084,141630,14286,13622,1527068,1455597,1030577,977473,280493,272749,17796,16953,100230,95212,3921,3760,94051,89450,1117429,1060028,331336,321288,33791,32158,136499,129620,10230,9726,533295,513445,459259,442019,27553,26593,15382,15084,5244,5024,1747,1680,24110,23045,481046,462836,39638,38161,23822,23183,12585,12010,4056,3896
R,1,2018,7,4092190,2090461,2001729,1513872,1445293,312424,303258,32435,31541,106140,101702,5806,5489,119784,114446,1624109,1550541,376136,364615,57376,55589,150141,143267,14503,13668,1542911,1473707,1039911,988334,285580,276787,17709,17345,100761,96693,4015,3827,94935,90721,1127641,1072076,336836,326131,33880,33003,137293,131269,10378,9822,547550,528022,473961,456959,26844,26471,14726,14196,5379,5009,1791,1662,24849,23725,496468,478465,39300,38484,23496,22586,12848,11998,4125,3846
R,1,2018,8,4023699,2052755,1970944,1475772,1410328,309362,301283,33038,31983,109898,106186,6169,6008,118516,115156,1584789,1516109,373005,363840,57030,55330,153546,148029,14573,14202,1522807,1459688,1022898,973837,280311,272960,17437,16951,103867,100327,4155,3999,94139,91614,1109948,1058378,331720,323469,32959,32164,140037,135137,10324,10003,529948,511256,452874,436491,29051,28323,15601,15032,6031,5859,2014,2009,24377,23542,474841,457731,41285,40371,24071,23166,13509,12892,4249,4199
